Type,OrderID,Time,Symbol,Action,Size,Price
Add,O101,12:00:01,AAPL,BUY,200,33.55
Add,P101,12:00:01,AAPL,BUY,200,33.55
Add,Q103,12:00:03,AAPL,SELL,300,33.62
Add,O103,12:00:04,AAPL,SELL,300,33.62
Add,P103,12:00:05,AAPL,BUY,300,33.56
Add,M101,12:00:05,AAPL,BUY,200,
Add,Q107,12:00:08,AAPL,BUY,200,33.5
Cancel,Q107,12:00:11,AAPL,BUY,200,33.5
Add,P113,12:00:14,AAPL,SELL,300,33.6
Add,Q113,12:00:14,AAPL,BUY,200,33.55
Add,M104,12:00:15,AAPL,BUY,400,
Cancel,P103,12:00:20,AAPL,BUY,300,33.56
Add,O117,12:00:22,AAPL,SELL,100,33.61
Add,O118,12:00:22,AAPL,BUY,100,33.54
Add,Q117,12:00:22,AAPL,SELL,100,33.61
Add,Q118,12:00:22,AAPL,BUY,100,33.58
Add,O119,12:00:23,AAPL,BUY,200,33.56
Add,P119,12:00:23,AAPL,BUY,200,33.57
Add,M107,12:00:26,AAPL,SELL,200,
Add,P124,12:00:27,AAPL,SELL,100,33.59
Add,O125,12:00:28,AAPL,SELL,200,33.61
Cancel,O125,12:00:30,AAPL,SELL,200,33.61
Add,M110,12:00:30,AAPL,SELL,300,
Add,O102,12:00:01,INTC,BUY,300,25.75
Add,Q102,12:00:02,INTC,SELL,100,25.79
Add,Q104,12:00:04,INTC,BUY,500,28.78
Add,M103,12:00:07,INTC,SELL,600,
Add,P108,12:00:08,INTC,SELL,200,25.8
Add,O108,12:00:09,INTC,BUY,200,25.77
Add,Q110,12:00:12,INTC,SELL,200,25.81
Add,O114,12:00:15,INTC,SELL,300,25.8
Add,P114,12:00:15,INTC,SELL,300,25.8
Add,Q114,12:00:15,INTC,BUY,300,25.76
Add,M106,12:00:17,INTC,BUY,200,
Cancel,O114,12:00:20,INTC,SELL,300,25.8
Add,P117,12:00:23,INTC,BUY,100,25.77
Cancel,P108,12:00:25,INTC,SELL,200,25.8
Add,P121,12:00:25,INTC,BUY,200,25.78
Add,O121,12:00:26,INTC,BUY,200,25.78
Add,O122,12:00:26,INTC,SELL,400,25.82
Add,Q121,12:00:26,INTC,SELL,200,25.81
Cancel,Q114,12:00:27,INTC,BUY,300,25.76
Add,Q127,12:00:28,INTC,SELL,100,25.79
Add,O127,12:00:29,INTC,SELL,100,25.79
Add,M109,12:00:29,INTC,BUY,3000,
Add,P102,12:00:02,NVDA,BUY,100,40.54
Add,Q101,12:00:02,NVDA,SELL,200,40.59
Add,O104,12:00:05,NVDA,BUY,500,40.55
Add,P104,12:00:05,NVDA,BUY,500,40.55
Add,M102,12:00:06,NVDA,SELL,500,
Add,O107,12:00:08,NVDA,SELL,200,40.6
Add,P107,12:00:08,NVDA,SELL,200,40.6
Add,Q108,12:00:09,NVDA,BUY,200,40.55
Cancel,O104,12:00:10,NVDA,BUY,500,40.55
Add,O110,12:00:10,NVDA,SELL,200,40.59
Cancel,P107,12:00:10,NVDA,SELL,200,40.6
Add,P110,12:00:11,NVDA,SELL,200,40.6
Add,O113,12:00:14,NVDA,BUY,200,40.55
Add,M105,12:00:16,NVDA,BUY,100,
Add,Q119,12:00:23,NVDA,BUY,200,40.58
Add,P122,12:00:26,NVDA,BUY,400,40.55
Add,O123,12:00:27,NVDA,BUY,200,40.58
Add,P123,12:00:27,NVDA,BUY,200,40.56
Add,M108,12:00:27,NVDA,BUY,300,
Add,O124,12:00:28,NVDA,SELL,100,40.59
Add,Q124,12:00:28,NVDA,SELL,100,40.6
Add,P127,12:00:29,NVDA,SELL,100,40.59
