Type,OrderID,Time,Symbol,Action,Size,Price
Add,Q101,12:00:02,NVDA,SELL,200,40.59
Add,Q102,12:00:02,INTC,SELL,100,25.79
Add,Q103,12:00:03,AAPL,SELL,300,33.62
Add,Q104,12:00:04,INTC,BUY,500,28.78
Add,Q107,12:00:08,AAPL,BUY,200,33.5
Add,Q108,12:00:09,NVDA,BUY,200,40.55
Cancel,Q107,12:00:11,AAPL,BUY,200,33.5
Add,Q110,12:00:12,INTC,SELL,200,25.81
Add,Q113,12:00:14,AAPL,BUY,200,33.55
Add,Q114,12:00:15,INTC,BUY,300,25.76
Add,Q117,12:00:22,AAPL,SELL,100,33.61
Add,Q118,12:00:22,AAPL,BUY,100,33.58
Add,Q119,12:00:23,NVDA,BUY,200,40.58
Add,Q121,12:00:26,INTC,SELL,200,25.81
Cancel,Q114,12:00:27,INTC,BUY,300,25.76
Add,Q124,12:00:28,NVDA,SELL,100,40.6
Add,Q127,12:00:28,INTC,SELL,100,25.79
